iter	Passed	Remaining
1013	3887	4163
1014	3891	4159
1015	3894	4154
1016	3898	4151
1017	3902	4147
1018	3905	4143
1019	3909	4139
1020	3912	4134
1021	3915	4130
1022	3920	4127
1023	3923	4123
1024	3927	4118
1025	3931	4115
1026	3934	4110
1027	3937	4105
1028	3941	4102
1029	3944	4097
1030	3947	4093
1031	3956	4095
1032	3961	4091
1033	3964	4087
1034	3967	4082
1035	3972	4079
1036	3976	4076
1037	3979	4071
1038	3984	4068
1039	3987	4064
1040	3990	4059
1041	3994	4055
1042	3997	4051
1043	4002	4048
1044	4005	4044
1045	4009	4040
1046	4013	4036
1047	4016	4031
1048	4019	4027
1049	4023	4023
1050	4026	4018
1051	4029	4014
1052	4033	4010
1053	4037	4006
1054	4040	4001
1055	4045	3999
1056	4048	3995
1057	4053	3991
1058	4056	3987
1059	4059	3982
1060	4063	3979
1061	4067	3975
1062	4070	3971
1063	4074	3967
1064	4078	3963
1065	4081	3958
1066	4085	3955
1067	4088	3951
1068	4091	3946
1069	4096	3943
1070	4099	3939
1071	4103	3934
1072	4107	3931
1073	4110	3926
1074	4113	3922
1075	4117	3918
1076	4120	3914
1077	4123	3909
1078	4128	3906
1079	4132	3902
1080	4135	3898
1081	4139	3894
1082	4142	3890
1083	4145	3885
1084	4150	3882
1085	4153	3878
1086	4157	3874
1087	4162	3871
1088	4165	3867
1089	4168	3862
1090	4172	3859
1091	4175	3854
1092	4178	3849
1093	4183	3847
1094	4186	3842
1095	4189	3838
1096	4194	3834
1097	4197	3830
1098	4200	3826
1099	4205	3822
1100	4208	3818
1101	4212	3814
1102	4216	3811
1103	4219	3807
1104	4224	3804
1105	4228	3800
1106	4231	3795
1107	4236	3793
1108	4240	3789
1109	4243	3784
1110	4247	3781
1111	4251	3777
1112	4255	3773
1113	4258	3769
1114	4261	3765
1115	4265	3760
1116	4269	3757
1117	4273	3753
1118	4276	3749
1119	4279	3744
1120	4282	3740
1121	4286	3736
1122	4289	3732
1123	4293	3727
1124	4296	3723
1125	4300	3720
1126	4304	3715
1127	4306	3711
1128	4312	3708
1129	4315	3704
1130	4318	3700
1131	4323	3697
1132	4326	3692
1133	4329	3688
1134	4333	3684
1135	4336	3680
1136	4339	3675
1137	4343	3671
1138	4347	3667
1139	4350	3663
1140	4354	3660
1141	4357	3655
1142	4360	3651
1143	4365	3648
1144	4369	3644
1145	4372	3639
1146	4376	3636
1147	4379	3632
1148	4382	3627
1149	4387	3624
1150	4390	3620
1151	4393	3615
1152	4397	3612
1153	4400	3607
1154	4404	3603
1155	4409	3600
1156	4412	3596
1157	4415	3591
1158	4419	3588
1159	4423	3584
1160	4429	3582
1161	4433	3579
1162	4439	3576
1163	4442	3572
1164	4446	3568
1165	4451	3565
1166	4454	3561
1167	4457	3556
1168	4461	3553
1169	4464	3548
1170	4467	3544
1171	4472	3541
1172	4475	3536
1173	4478	3532
1174	4484	3530
1175	4488	3526
1176	4493	3523
1177	4496	3519
1178	4500	3515
1179	4504	3512
1180	4507	3507
1181	4511	3504
1182	4515	3500
1183	4518	3495
1184	4521	3491
1185	4527	3488
1186	4530	3484
1187	4535	3481
1188	4539	3478
1189	4542	3473
1190	4549	3472
1191	4553	3468
1192	4558	3465
1193	4561	3461
1194	4564	3456
1195	4568	3453
1196	4572	3449
1197	4575	3444
1198	4580	3441
1199	4583	3437
1200	4586	3433
1201	4590	3429
1202	4593	3424
1203	4596	3420
1204	4600	3416
1205	4603	3412
1206	4606	3408
1207	4610	3404
1208	4613	3400
1209	4616	3395
1210	4621	3392
1211	4624	3388
1212	4627	3384
1213	4632	3380
1214	4635	3376
1215	4638	3372
1216	4643	3369
1217	4646	3365
1218	4649	3360
1219	4654	3357
1220	4657	3352
1221	4660	3348
1222	4664	3345
1223	4667	3340
1224	4670	3336
1225	4676	3334
1226	4679	3329
1227	4684	3326
1228	4687	3322
1229	4690	3317
1230	4693	3313
1231	4697	3309
1232	4700	3305
1233	4703	3300
1234	4708	3297
1235	4711	3293
1236	4714	3289
1237	4719	3285
1238	4722	3281
1239	4726	3277
1240	4730	3274
1241	4733	3270
1242	4738	3267
1243	4742	3263
1244	4745	3259
1245	4750	3255
1246	4753	3251
1247	4756	3247
1248	4761	3243
1249	4764	3239
1250	4767	3235
1251	4772	3232
1252	4775	3228
1253	4778	3224
1254	4782	3220
1255	4785	3215
1256	4789	3211
1257	4793	3208
1258	4796	3204
1259	4800	3200
1260	4805	3197
1261	4808	3192
1262	4811	3188
1263	4815	3185
1264	4818	3180
1265	4822	3176
1266	4827	3173
1267	4830	3169
1268	4834	3165
1269	4837	3161
1270	4840	3157
1271	4844	3153
1272	4848	3149
1273	4851	3145
1274	4855	3141
1275	4859	3138
1276	4862	3133
1277	4867	3130
1278	4870	3126
1279	4873	3121
1280	4877	3118
1281	4881	3114
1282	4884	3110
1283	4888	3106
1284	4891	3102
1285	4895	3098
1286	4899	3095
1287	4902	3090
1288	4906	3086
1289	4910	3083
1290	4913	3079
1291	4917	3075
1292	4922	3072
1293	4926	3068
1294	4929	3064
1295	4933	3060
1296	4936	3056
1297	4939	3052
1298	4943	3048
1299	4946	3043
1300	4949	3039
1301	4953	3036
1302	4956	3032
1303	4959	3027
1304	4965	3024
1305	4968	3020
1306	4971	3016
1307	4975	3012
1308	4978	3008
1309	4981	3004
1310	4986	3001
1311	4990	2997
1312	4994	2993
1313	4998	2990
1314	5001	2985
1315	5006	2982
1316	5010	2978
1317	5013	2974
1318	5018	2971
1319	5021	2967
1320	5024	2963
1321	5028	2959
1322	5031	2955
1323	5034	2950
1324	5038	2947
1325	5042	2943
1326	5046	2939
1327	5051	2936
1328	5054	2932
1329	5057	2928
1330	5061	2924
1331	5064	2920
1332	5067	2915
1333	5072	2912
1334	5075	2908
1335	5078	2904
1336	5082	2900
1337	5085	2896
1338	5089	2892
1339	5093	2889
1340	5097	2885
1341	5101	2881
1342	5104	2877
1343	5107	2873
1344	5111	2869
1345	5115	2865
1346	5118	2861
1347	5122	2857
1348	5126	2854
1349	5130	2850
1350	5133	2846
1351	5137	2842
1352	5140	2838
1353	5144	2834
1354	5148	2830
1355	5151	2826
